datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2017/12/13 05:11:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.85,0.06,-31.76334,-53.86829,
2017/12/30 23:32:13,GOES-16,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.88,-51.77,
2017/12/13 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,MONTENEGRO,Pampa,0,6.85,0,-29.6453,-51.43362,
2017/12/13 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,MARIANA PIMENTEL,Pampa,0,7.45,0,-30.35395,-51.59363,
2017/12/27 16:32:00,NPP-375,Brasil,RIO GRANDE DO SUL,MONTENEGRO,Pampa,0,0.15,0.03,-29.80134,-51.43762,
2018/02/14 17:48:00,NPP-375,Brasil,RIO GRANDE DO SUL,URUGUAIANA,Pampa,0,0,1,-29.56288,-56.53975,
2017/12/12 17:53:00,NPP-375,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,0,0,0.43,-30.51086,-52.57884,
2017/12/13 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,MONTENEGRO,Pampa,0,6.85,0,-29.6412,-51.43467,
2017/12/11 18:12:00,NPP-375,Brasil,RIO GRANDE DO SUL,PINHEIRO MACHADO,Pampa,0,0,0.57,-31.00704,-53.25656,
2017/12/13 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO BORJA,Pampa,0,12.8,0.02,-28.91522,-55.63084,
2018/03/23 16:18:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,0,65.32,0,-31.2844,-53.27576,
2018/03/12 16:24:00,NPP-375,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,0,0,0.37,-30.56543,-52.69967,
2017/12/17 03:55:00,NPP-375,Brasil,RIO GRANDE DO SUL,CACEQUI,Pampa,0,0,0.01,-29.85612,-54.93498,
2017/12/29 17:34:00,NPP-375,Brasil,RIO GRANDE DO SUL,HERVAL,Pampa,0,0,0.27,-31.87368,-52.97852,
2017/12/27 18:12:00,NPP-375,Brasil,RIO GRANDE DO SUL,CACAPAVA DO SUL,Pampa,0,0.57,0.15,-30.73988,-53.41188,
2017/12/22 18:06:00,NPP-375,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,0,11.12,0,-30.85027,-52.84363,
2017/12/30 21:02:14,GOES-16,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.86,-51.75,
2017/12/12 17:53:00,NPP-375,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,0,0,0.43,-30.51209,-52.57928,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANGUCU,Pampa,,,,-31.23795,-52.58673,
2017/12/13 17:34:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,0,9.6,0,-31.70881,-53.1416,
2017/12/30 21:32:15,GOES-16,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.86,-51.75,
2017/12/12 17:53:00,NPP-375,Brasil,RIO GRANDE DO SUL,CERRITO,Pampa,0,0.8,0.08,-31.85157,-52.72391,
2017/12/13 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO BORJA,Pampa,0,12.45,0.04,-28.91955,-55.48075,
2017/12/08 17:28:00,NPP-375,Brasil,RIO GRANDE DO SUL,CACAPAVA DO SUL,Pampa,0,0.1,0.14,-30.74961,-53.37123,
2017/12/30 23:02:15,GOES-16,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.86,-51.77,
2017/12/27 16:31:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,0,0,0.03,-31.72089,-53.14216,
2017/12/29 17:34:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,0,0.49,-31.52848,-53.72272,
2017/12/13 05:11:00,NPP-375,Brasil,RIO GRANDE DO SUL,SANT'ANA DO LIVRAMENTO,Pampa,0,3.58,0,-30.82714,-55.39198,
2017/12/27 04:08:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,0,0.39,-31.56524,-53.72619,
2018/02/14 17:48:00,NPP-375,Brasil,RIO GRANDE DO SUL,HERVAL,Pampa,0,0,0.51,-31.84305,-53.41262,
2017/12/12 17:53:00,NPP-375,Brasil,RIO GRANDE DO SUL,CACHOEIRA DO SUL,Pampa,0,0.4,0.64,-30.63707,-53.03041,
2017/12/27 16:31:00,NPP-375,Brasil,RIO GRANDE DO SUL,PEDRAS ALTAS,Pampa,0,0,0.16,-31.7482,-53.51949,
2017/12/30 23:17:14,GOES-16,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.88,-51.77,
2017/12/11 18:12:00,NPP-375,Brasil,RIO GRANDE DO SUL,LAVRAS DO SUL,Pampa,0,0,0.62,-30.84425,-53.76307,
2017/12/13 05:11:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.18,0.03,-31.76909,-53.90878,
2017/12/13 17:34:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.85,0.05,-31.77417,-53.89943,
2017/12/13 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO BORJA,Pampa,0,12.8,0.02,-28.93381,-55.63553,
2017/12/11 16:32:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO JERONIMO,Pampa,0,0,0.06,-30.0308,-51.81472,
2017/12/13 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO BORJA,Pampa,0,12.8,0.03,-28.93582,-55.62629,
2017/12/09 17:09:00,NPP-375,Brasil,RIO GRANDE DO SUL,SANTANA DA BOA VISTA,Pampa,0,0,0.38,-30.89521,-53.30772,
2017/12/08 17:28:00,NPP-375,Brasil,RIO GRANDE DO SUL,BAGE,Pampa,0,0,0.23,-30.95976,-53.7403,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,HULHA NEGRA,Pampa,,,,-31.50257,-53.85132,
2017/12/21 16:44:00,NPP-375,Brasil,RIO GRANDE DO SUL,QUARAI,Pampa,0,0,0.42,-30.33903,-55.89473,
2017/12/10 16:50:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,0,0.52,-31.52585,-53.74417,
2017/12/13 05:11:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.85,0.05,-31.76077,-53.8965,
2017/12/10 16:51:00,NPP-375,Brasil,RIO GRANDE DO SUL,CACAPAVA DO SUL,Pampa,0,0,0.26,-30.78085,-53.3856,
2018/02/04 17:36:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANGUCU,Pampa,0,0,0.26,-31.24845,-52.91021,
2017/12/30 17:16:00,NPP-375,Brasil,RIO GRANDE DO SUL,ROSARIO DO SUL,Pampa,,,,-30.19226,-55.26473,
2018/03/08 17:36:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,0,0,1,-31.09912,-53.03699,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,PELOTAS,Pampa,,,,-31.76376,-52.25146,
2017/12/13 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO BORJA,Pampa,0,12.8,0.03,-28.92552,-55.62856,
2017/12/16 16:38:00,NPP-375,Brasil,RIO GRANDE DO SUL,CACAPAVA DO SUL,Pampa,0,4.78,0.07,-30.70929,-53.36817,
2017/12/13 17:34:00,NPP-375,Brasil,RIO GRANDE DO SUL,BAGE,Pampa,0,5.13,0.02,-31.10783,-54.06993,
2018/03/11 16:42:00,NPP-375,Brasil,RIO GRANDE DO SUL,OSORIO,Pampa,0,4.55,0.38,-29.92168,-50.22119,
2018/03/14 17:24:00,NPP-375,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,0,126.15,0,-30.6588,-52.81087,
2017/12/11 18:13:00,NPP-375,Brasil,RIO GRANDE DO SUL,ALEGRETE,Pampa,0,0,0.79,-29.57721,-56.27338,
2017/12/09 17:09:00,NPP-375,Brasil,RIO GRANDE DO SUL,JAGUARAO,Pampa,0,0,0.41,-32.32279,-53.59097,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,PINHEIRO MACHADO,Pampa,,,,-31.82867,-53.37832,
2017/12/30 19:47:13,GOES-16,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.86,-51.8,
2018/03/11 18:24:00,NPP-375,Brasil,RIO GRANDE DO SUL,ROSARIO DO SUL,Pampa,0,0,1,-30.21435,-55.22094,
2017/12/12 17:53:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,0,0.08,0.59,-31.79973,-53.2948,
2017/12/12 17:53:00,NPP-375,Brasil,RIO GRANDE DO SUL,GENERAL CAMARA,Pampa,0,0.03,0.07,-29.83101,-51.91724,
2017/12/17 03:55:00,NPP-375,Brasil,RIO GRANDE DO SUL,GENERAL CAMARA,Pampa,0,0,0.02,-29.87535,-51.96656,
2017/12/12 17:54:00,NPP-375,Brasil,RIO GRANDE DO SUL,GENERAL CAMARA,Pampa,0,0.1,0.07,-29.8003,-52.01738,
2018/03/10 17:00:00,NPP-375,Brasil,RIO GRANDE DO SUL,RIO GRANDE,Pampa,0,2.53,0.41,-32.21945,-52.25478,
2017/12/30 17:16:00,NPP-375,Brasil,RIO GRANDE DO SUL,CACAPAVA DO SUL,Pampa,,,,-30.61434,-53.57675,
2017/12/13 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO BORJA,Pampa,0,12.8,0.02,-28.92765,-55.64128,
2017/12/16 16:38:00,NPP-375,Brasil,RIO GRANDE DO SUL,SANTANA DA BOA VISTA,Pampa,0,5.02,0.06,-30.8051,-53.31917,
2017/12/27 16:32:00,NPP-375,Brasil,RIO GRANDE DO SUL,MONTENEGRO,Pampa,0,0.15,0.03,-29.8009,-51.43872,
2017/12/27 16:31:00,NPP-375,Brasil,RIO GRANDE DO SUL,HERVAL,Pampa,0,0.2,0.03,-31.91251,-53.14876,
2017/12/13 00:40:15,METOP-B,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.85,0.06,-31.7649993896484,-53.8680992126465,
2017/12/27 16:31:00,NPP-375,Brasil,RIO GRANDE DO SUL,HERVAL,Pampa,0,0.2,0.03,-31.91889,-53.1436,
